Finding ID,Severity,Rule ID,Title,Version,Vulnerability Discussion,Check Content,Fix Text,False Positives,False Negatives,Mitigations,Documentable
V-253271,MEDIUM,SV-253271r958702_rule,Only authorized user accounts must be allowed to create or run virtual machines on Windows 11 systems.,WN11-00-000080,"Allowing other operating systems to run on a secure system may allow users to circumvent security. For Hyper-V, preventing unauthorized users from being assigned to the Hyper-V Administrators group will prevent them from accessing or creating virtual machines on the system. The Hyper-V Hypervisor is used by virtualization-based Security features such as Credential Guard on Windows 11; however, it is not the full Hyper-V installation.","If a hosted hypervisor (Hyper-V, VMware Workstation, etc.) is installed on the system, verify only authorized user accounts are allowed to run virtual machines.

For Hyper-V, run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Groups.
Double click on ""Hyper-V Administrators"".

If any unauthorized groups or user accounts are listed in ""Members:"", this is a finding.

For hosted hypervisors other than Hyper-V, verify only authorized user accounts have access to run the virtual machines. Restrictions may be enforced by access to the physical system, software restriction policies, or access restrictions built into the application.

If any unauthorized groups or user accounts have access to create or run virtual machines, this is a finding.

All users authorized to create or run virtual machines must be documented with the ISSM/ISSO. Accounts nested within group accounts must be documented as individual accounts and not the group accounts.","For Hyper-V, remove any unauthorized groups or user accounts from the ""Hyper-V Administrators"" group.

For hosted hypervisors other than Hyper-V, restrict access to create or run virtual machines to authorized user accounts only.",,,,FALSE
V-253273,MEDIUM,SV-253273r1051040_rule,Accounts must be configured to require password expiration.,WN11-00-000090,Passwords that do not expire increase exposure with a greater probability of being discovered or cracked.,"Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Users.
Double-click each active account.

If ""Password never expires"" is selected for any account, this is a finding.","Configure all passwords to expire.
Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Users.
Double-click each active account.
Ensure ""Password never expires"" is not checked on all active accounts.",,,,FALSE
V-253274,MEDIUM,SV-253274r1016661_rule,Permissions for system files and directories must conform to minimum requirements.,WN11-00-000095,Changing the system's file and directory permissions allows the possibility of unauthorized and anonymous modification to the operating system and installed applications.,"The default file system permissions are adequate when the Security Option ""Network access: Let Everyone permissions apply to anonymous users"" is set to ""Disabled"" (WN11-SO-000160).

If the default file system permissions are maintained and the referenced option is set to ""Disabled"", this is not a finding.

Verify the default permissions for the sample directories below. Non-privileged groups such as Users or Authenticated Users must not have greater than read & execute permissions except where noted as defaults. (Individual accounts must not be used to assign permissions.)

Select the ""Security"" tab, and the ""Advanced"" button.

C:\
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
Administrators - Full control - This folder, subfolders, and files
SYSTEM - Full control - This folder, subfolders, and files
Users - Read & execute - This folder, subfolders, and files
Authenticated Users - Modify - Subfolders and files only
Authenticated Users - Create folders / append data - This folder only

\Program Files
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
TrustedInstaller - Full control - This folder and subfolders
SYSTEM - Modify - This folder only
SYSTEM - Full control - Subfolders and files only
Administrators - Modify - This folder only
Administrators - Full control - Subfolders and files only
Users - Read & execute - This folder, subfolders, and files
CREATOR OWNER - Full control - Subfolders and files only
ALL APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files
ALL RESTRICTED APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files

\Windows
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
TrustedInstaller - Full control - This folder and subfolders
SYSTEM - Modify - This folder only
SYSTEM - Full control - Subfolders and files only
Administrators - Modify - This folder only
Administrators - Full control - Subfolders and files only
Users - Read & execute - This folder, subfolders, and files
CREATOR OWNER - Full control - Subfolders and files only
ALL APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files
ALL RESTRICTED APPLICATION PACKAGES - Read & execute - This folder, subfolders, and files

Alternately use icacls.

Run ""CMD"" as administrator.
Enter ""icacls"" followed by the directory.

icacls c:\
icacls ""c:\program files""
icacls c:\windows

The following results will be displayed as each is entered:

c:\
S-1-15-3-65536-1888954469-739942743-1668119174-2468466756-4239452838-1296943325-355587736-700089176 (S,RD,X,RA)
BUILTIN\Administrators:(OI)(CI)(F)
NT AUTHORITY\SYSTEM:(OI)(CI)(F)
BUILTIN\Users:(OI)(CI)(RX)
NT AUTHORITY\Authenticated Users:(OI)(CI)(IO)(M)
NT AUTHORITY\Authenticated Users:(AD)
Mandatory Label\High Mandatory Level:(OI)(NP)(IO)(NW)
Successfully processed 1 files; Failed processing 0 files

c:\program files 
NT SERVICE\TrustedInstaller:(F)
NT SERVICE\TrustedInstaller:(CI)(IO)(F)
NT AUTHORITY\SYSTEM:(M)
NT AUTHORITY\SYSTEM:(OI)(CI)(IO)(F)
BUILTIN\Administrators:(M)
BUILTIN\Administrators:(OI)(CI)(IO)(F)
BUILTIN\Users:(RX)
BUILTIN\Users:(OI)(CI)(IO)(GR,GE)
CREATOR OWNER:(OI)(CI)(IO)(F)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
Successfully processed 1 files; Failed processing 0 files

c:\windows
NT SERVICE\TrustedInstaller:(F)
NT SERVICE\TrustedInstaller:(CI)(IO)(F)
NT AUTHORITY\SYSTEM:(M)
NT AUTHORITY\SYSTEM:(OI)(CI)(IO)(F)
BUILTIN\Administrators:(M)
BUILTIN\Administrators:(OI)(CI)(IO)(F)
BUILTIN\Users:(RX)
BUILTIN\Users:(OI)(CI)(IO)(GR,GE)
CREATOR OWNER:(OI)(CI)(IO)(F)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
Successfully processed 1 files; Failed processing 0 files","Maintain the default file system permissions and configure the Security Option: ""Network access: Let everyone permissions apply to anonymous users"" to ""Disabled"" (WN11-SO-000160).",,,,FALSE
V-253276,MEDIUM,SV-253276r958480_rule,Simple Network Management Protocol (SNMP) must not be installed on the system.,WN11-00-000105,"""SNMP"" is not installed by default. Some protocols and services do not support required security features, such as encrypting passwords or traffic.","Verify SNMP has not been installed.

Navigate to the Windows\System32 directory.

If the ""SNMP"" application exists, this is a finding.","Uninstall ""Simple Network Management Protocol (SNMP)"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".
De-select ""Simple Network Management Protocol (SNMP)"".",,,,FALSE
V-253277,MEDIUM,SV-253277r958478_rule,Simple TCP/IP Services must not be installed on the system.,WN11-00-000110,"""Simple TCP/IP Services"" is not installed by default. Some protocols and services do not support required security features, such as encrypting passwords or traffic.","Verify Simple TCP/IP Services has not been installed.

Run ""Services.msc"".

If ""Simple TCP/IP Services"" is listed, this is a finding.","Uninstall ""Simple TCPIP Services (i.e. echo, daytime etc.)"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".
De-select ""Simple TCPIP Services (i.e. echo, daytime etc.)"".",,,,FALSE
V-253278,MEDIUM,SV-253278r958480_rule,The Telnet Client must not be installed on the system.,WN11-00-000115,"The ""Telnet Client"" is not installed by default. Some protocols and services do not support required security features, such as encrypting passwords or traffic.","Verify Telnet Client has not been installed.

Navigate to the Windows\System32 directory.

If the ""telnet"" application exists, this is a finding.","Uninstall ""Telnet Client"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".

De-select ""Telnet Client"".",,,,FALSE
V-253279,MEDIUM,SV-253279r958480_rule,The TFTP Client must not be installed on the system.,WN11-00-000120,"The ""TFTP Client"" is not installed by default. Some protocols and services do not support required security features, such as encrypting passwords or traffic.","Verify TFTP Client has not been installed.

Navigate to the Windows\System32 directory.

If the ""TFTP"" application exists, this is a finding.","Uninstall ""TFTP Client"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".
De-select ""TFTP Client"".",,,,FALSE
V-253280,MEDIUM,SV-253280r991589_rule,Software certificate installation files must be removed from Windows 11.,WN11-00-000130,Use of software certificates and their accompanying installation files for end users to access resources is less secure than the use of hardware-based certificates.,"Search all drives for *.p12 and *.pfx files.

If any files with these extensions exist, this is a finding.

This does not apply to server-based applications that have a requirement for .p12 certificate files (e.g., Oracle Wallet Manager) or Adobe PreFlight certificate files. Some applications create files with extensions of .p12 that are not certificate installation files. Removal of non-certificate installation files from systems is not required. These must be documented with the ISSO.","Remove any certificate installation files (*.p12 and *.pfx) found on a system.

Note: This does not apply to server-based applications that have a requirement for .p12 certificate files (e.g., Oracle Wallet Manager) or Adobe PreFlight certificate files.",,,,FALSE
V-253281,MEDIUM,SV-253281r991589_rule,A host-based firewall must be installed and enabled on the system.,WN11-00-000135,"A firewall provides a line of defense against attack, allowing or blocking inbound and outbound connections based on a set of rules.","Determine if a host-based firewall is installed and enabled on the system. If a host-based firewall is not installed and enabled on the system, this is a finding.

The configuration requirements will be determined by the applicable firewall STIG.",Install and enable a host-based firewall on the system.,,,,FALSE
V-253282,MEDIUM,SV-253282r991593_rule,Inbound exceptions to the firewall on Windows 11 domain workstations must only allow authorized remote management hosts.,WN11-00-000140,Allowing inbound access to domain workstations from other systems may allow lateral movement across systems if credentials are compromised. Limiting inbound connections only from authorized remote management systems will help limit this exposure.,"Verify firewall exceptions to inbound connections on domain workstations include only authorized remote management hosts.

If allowed inbound exceptions are not limited to authorized remote management hosts, this is a finding.

Review inbound firewall exceptions.
Computer Configuration >> Windows Settings >> Security Settings >> Windows Defender Firewall with Advanced Security >> Windows Defender Firewall with Advanced Security >> Inbound Rules (this link will be in the right pane)

For any inbound rules that allow connections view the Scope for Remote IP address. This may be defined as an IP address, subnet, or range. The rule must apply to all firewall profiles.

If a third-party firewall is used, ensure comparable settings are in place.","Configure firewall exceptions to inbound connections on domain workstations to include only authorized remote management hosts.

Configure only inbound connection exceptions for authorized remote management hosts.
Computer Configuration >> Windows Settings >> Security Settings >> Windows Defender Firewall with Advanced Security >> Windows Defender Firewall with Advanced Security >> Inbound Rules (this link will be in the right pane)

For any inbound rules that allow connections, configure the Scope for Remote IP address to those of authorized remote management hosts. This may be defined as an IP address, subnet or range. Apply the rule to all firewall profiles.

If a third-party firewall is used, configure inbound exceptions to only include authorized remote management hosts.",,,,FALSE
V-253285,MEDIUM,SV-253285r958478_rule,The Windows PowerShell 2.0 feature must be disabled on the system.,WN11-00-000155,Windows PowerShell 5.0 added advanced logging features which can provide additional detail when malware has been run on a system. Disabling the Windows PowerShell 2.0 mitigates against a downgrade attack that evades the Windows PowerShell 5.0 script block logging feature.,"Run ""Windows PowerShell"" with elevated privileges (run as administrator).

Enter the following:
Get-WindowsOptionalFeature -Online | Where FeatureName -like *PowerShellv2*

If either of the following have a ""State"" of ""Enabled"", this is a finding.

FeatureName : MicrosoftWindowsPowerShellV2
State : Enabled
FeatureName : MicrosoftWindowsPowerShellV2Root
State : Enabled

Alternately:
Search for ""Features"".

Select ""Turn Windows features on or off"".

If ""Windows PowerShell 2.0"" (whether the subcategory of ""Windows PowerShell 2.0 Engine"" is selected or not) is selected, this is a finding.","Disable ""Windows PowerShell 2.0"" on the system.

Run ""Windows PowerShell"" with elevated privileges (run as administrator).
Enter the following:
Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root

This command must disable both ""MicrosoftWindowsPowerShellV2Root"" and ""MicrosoftWindowsPowerShellV2"" which correspond to ""Windows PowerShell 2.0"" and ""Windows PowerShell 2.0 Engine"" respectively in ""Turn Windows features on or off"".

Alternately:
Search for ""Features"".
Select ""Turn Windows features on or off"".
De-select ""Windows PowerShell 2.0"".",,,,FALSE
V-253286,MEDIUM,SV-253286r958478_rule,The Server Message Block (SMB) v1 protocol must be disabled on the system.,WN11-00-000160,"SMBv1 is a legacy protocol that uses the MD5 algorithm as part of SMB. MD5 is known to be vulnerable to a number of attacks such as collision and preimage attacks as well as not being FIPS compliant.

Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1. File shares and print services hosted on Windows Server 2003 are an example, however Windows Server 2003 is no longer a supported operating system. Some older Network Attached Storage (NAS) devices may only support SMBv1.","Different methods are available to disable SMBv1 on Windows 11. This is the preferred method, however if WN11-00-000165 and WN11-00-000170 are configured, this is NA.

Run ""Windows PowerShell"" with elevated privileges (run as administrator).

Enter the following:
Get-WindowsOptionalFeature -Online | Where FeatureName -eq SMB1Protocol

If ""State : Enabled"" is returned, this is a finding.

Alternately:
Search for ""Features"".

Select ""Turn Windows features on or off"".

If ""SMB 1.0/CIFS File Sharing Support"" is selected, this is a finding.","Disable the SMBv1 protocol.

Run ""Windows PowerShell"" with elevated privileges (run as administrator).

Enter the following:
Disable-WindowsOptionalFeature -Online -FeatureName SMB1Protocol

Alternately:
Search for ""Features"".

Select ""Turn Windows features on or off"".

De-select ""SMB 1.0/CIFS File Sharing Support"".",,,,FALSE
V-253287,MEDIUM,SV-253287r958478_rule,The Server Message Block (SMB) v1 protocol must be disabled on the SMB server.,WN11-00-000165,"SMBv1 is a legacy protocol that uses the MD5 algorithm as part of SMB. MD5 is known to be vulnerable to a number of attacks such as collision and preimage attacks as well as not being FIPS compliant.

Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1. File shares and print services hosted on Windows Server 2003 are an example, however Windows Server 2003 is no longer a supported operating system. Some older network attached devices may only support SMBv1.","Different methods are available to disable SMBv1 on Windows 11, if WN11-00-000160 is configured, this is NA.

If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\

Value Name: SMB1

Type: REG_DWORD
Value: 0x00000000 (0)","Configure the policy value for Computer Configuration >> Administrative Templates >> MS Security Guide >> ""Configure SMBv1 Server"" to ""Disabled"".

This policy setting requires the installation of the SecGuide custom templates included with the STIG package. ""SecGuide.admx"" and ""SecGuide.adml"" must be copied to the \Windows\PolicyDefinitions and \Windows\PolicyDefinitions\en-US directories, respectively.  

The system must be restarted for the change to take effect.",,,,FALSE
V-253288,MEDIUM,SV-253288r958478_rule,The Server Message Block (SMB) v1 protocol must be disabled on the SMB client.,WN11-00-000170,"SMBv1 is a legacy protocol that uses the MD5 algorithm as part of SMB. MD5 is known to be vulnerable to a number of attacks such as collision and preimage attacks as well as not being FIPS compliant.

Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1. File shares and print services hosted on Windows Server 2003 are an example, however Windows Server 2003 is no longer a supported operating system. Some older network attached devices may only support SMBv1.","Different methods are available to disable SMBv1 on Windows 11, if WN11-00-000160is configured, this is NA.

If the following registry value is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Services\mrxsmb10\

Value Name: Start

Type: REG_DWORD
Value: 0x00000004 (4)","Configure the policy value for Computer Configuration >> Administrative Templates >> MS Security Guide >> ""Configure SMBv1 client driver"" to ""Enabled"" with ""Disable driver (recommended)"" selected for ""Configure MrxSmb10 driver"".

This policy setting requires the installation of the SecGuide custom templates included with the STIG package. ""SecGuide.admx"" and ""SecGuide.adml"" must be copied to the \Windows\PolicyDefinitions and \Windows\PolicyDefinitions\en-US directories, respectively.  

The system must be restarted for the changes to take effect.",,,,FALSE
V-253289,MEDIUM,SV-253289r958478_rule,The Secondary Logon service must be disabled on Windows 11.,WN11-00-000175,"The Secondary Logon service provides a means for entering alternate credentials, typically used to run commands with elevated privileges. Using privileged credentials in a standard user session can expose those credentials to theft.","Run ""Services.msc"".

Locate the ""Secondary Logon"" service.

If the ""Startup Type"" is not ""Disabled"" or the ""Status"" is ""Running"", this is a finding.","Configure the ""Secondary Logon"" service ""Startup Type"" to ""Disabled"".",,,,FALSE
V-253290,MEDIUM,SV-253290r991589_rule,Orphaned security identifiers (SIDs) must be removed from user rights on Windows 11.,WN11-00-000190,"Accounts or groups given rights on a system may show up as unresolved SIDs for various reasons including deletion of the accounts or groups. If the account or group objects are reanimated, there is a potential they may still have rights no longer intended. Valid domain accounts or groups may also show up as unresolved SIDs if a connection to the domain cannot be established for some reason.","Review the effective User Rights setting in Local Group Policy Editor.
Run ""gpedit.msc"".

Navigate to Local Computer Policy >> Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> User Rights Assignment.

Review each User Right listed for any unresolved SIDs to determine whether they are valid, such as due to being temporarily disconnected from the domain. (Unresolved SIDs have the format of ""*S-1-.."".)

If any unresolved SIDs exist and are not for currently valid accounts or groups, this is a finding.",Remove any unresolved SIDs found in User Rights assignments and determined to not be for currently valid accounts or groups by removing the accounts or groups from the appropriate group policy.,,,,FALSE
V-253291,MEDIUM,SV-253291r958478_rule,Bluetooth must be turned off unless approved by the organization.,WN11-00-000210,"If not configured properly, Bluetooth may allow rogue devices to communicate with a system. If a rogue device is paired with a system, there is potential for sensitive information to be compromised.","This is NA if the system does not have Bluetooth.

Verify the Bluetooth radio is turned off unless approved by the organization. If it is not, this is a finding.

Approval must be documented with the ISSO.",Turn off Bluetooth radios not organizationally approved. Establish an organizational policy for the use of Bluetooth.,,,,FALSE
V-253292,MEDIUM,SV-253292r958478_rule,Bluetooth must be turned off when not in use.,WN11-00-000220,"If not configured properly, Bluetooth may allow rogue devices to communicate with a system. If a rogue device is paired with a system, there is potential for sensitive information to be compromised.","This is NA if the system does not have Bluetooth.

Verify the organization has a policy to turn off Bluetooth when not in use and personnel are trained. If it does not, this is a finding.",Turn off Bluetooth radios when not in use. Establish an organizational policy for the use of Bluetooth to include training of personnel.,,,,FALSE
